Parameters:
num_ants = 30
num_iterations = 100
alpha = 0.9
beta = 0.7
rho = 0.15
Q = 125

Execution 1:
Best Solution: [0, 7, 1, 13, 2, 12, 3, 5, 4, 9, 14, 6, 11, 8, 10]
Cost: 2238
Execution Time: 1.1242663860321045 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
1, 4707, 674, 0.0, 6462.933333333333, 8296
2, 4443, 674, 0.0, 6369.433333333333, 8474
3, 3992, 674, 0.0, 6155.333333333333, 9018
4, 3992, 674, 0.0, 6442.433333333333, 7797
5, 3992, 674, 0.0, 6366.4, 10039
6, 3992, 674, 0.0, 6381.766666666666, 8447
7, 3992, 674, 0.0, 6029.4, 7478
8, 3992, 674, 0.0, 6108.866666666667, 7809
9, 3992, 674, 0.0, 5902.766666666666, 7321
10, 3992, 674, 0.0, 5812.3, 7644
11, 3992, 674, 0.0, 5578.0, 7434
12, 3711, 674, 0.0, 5390.966666666666, 6699
13, 3711, 674, 0.0, 5714.566666666667, 8141
14, 3711, 674, 0.0, 5342.433333333333, 7035
15, 3437, 674, 0.0, 5265.266666666666, 6664
16, 3437, 674, 0.0, 5442.4, 7226
17, 3437, 674, 0.0, 5082.7, 6532
18, 3142, 674, 0.0, 5098.7, 6691
19, 2761, 674, 0.0, 4890.933333333333, 6899
20, 2567, 674, 0.0, 4448.633333333333, 6300
21, 2567, 674, 0.0, 4787.2, 5906
22, 2567, 674, 0.0, 4774.233333333334, 6007
23, 2567, 674, 0.0, 4896.6, 6965
24, 2567, 674, 0.0, 4835.233333333334, 6700
25, 2567, 674, 0.0, 4610.366666666667, 7446
26, 2564, 674, 0.0, 4404.733333333334, 6524
27, 2564, 674, 0.0, 4552.8, 6775
28, 2564, 674, 0.0, 4477.9, 6029
29, 2564, 674, 0.0, 4519.266666666666, 6125
30, 2564, 674, 0.0, 4028.5333333333333, 4911
31, 2342, 674, 0.0, 4405.766666666666, 6793
32, 2342, 674, 0.0, 4160.666666666667, 6201
33, 2342, 674, 0.0, 4097.633333333333, 5899
34, 2342, 674, 0.0, 4035.5666666666666, 5351
35, 2342, 674, 0.0, 4216.966666666666, 5732
36, 2342, 674, 0.0, 4083.633333333333, 5369
37, 2342, 674, 0.0, 4201.3, 5953
38, 2342, 674, 0.0, 4087.9, 5798
39, 2342, 674, 0.0, 3900.9333333333334, 5298
40, 2342, 674, 0.0, 4071.5333333333333, 5057
41, 2342, 674, 0.0, 4134.333333333333, 5639
42, 2342, 674, 0.0, 3991.7, 5382
43, 2342, 674, 0.0, 4136.133333333333, 5556
44, 2342, 674, 0.0, 3803.5, 5619
45, 2342, 674, 0.0, 3973.4666666666667, 6183
46, 2342, 674, 0.0, 4008.366666666667, 5520
47, 2342, 674, 0.0, 3591.366666666667, 5710
48, 2342, 674, 0.0, 3969.266666666667, 6414
49, 2342, 674, 0.0, 3775.866666666667, 4941
50, 2342, 674, 0.0, 3927.633333333333, 5384
51, 2342, 674, 0.0, 3863.0, 5700
52, 2342, 674, 0.0, 3821.5666666666666, 5132
53, 2300, 674, 0.0, 3819.733333333333, 5611
54, 2300, 674, 0.0, 3822.0333333333333, 5447
55, 2300, 674, 0.0, 3650.1666666666665, 4853
56, 2300, 674, 0.0, 3699.0333333333333, 5011
57, 2300, 674, 0.0, 3990.5666666666666, 5674
58, 2300, 674, 0.0, 3750.866666666667, 5221
59, 2238, 674, 0.0, 3567.4666666666667, 5200
60, 2238, 674, 0.0, 3717.5333333333333, 5548
61, 2238, 674, 0.0, 3802.8, 5263
62, 2238, 674, 0.0, 4040.1666666666665, 5674
63, 2238, 674, 0.0, 3640.1666666666665, 4844
64, 2238, 674, 0.0, 3658.0333333333333, 5034
65, 2238, 674, 0.0, 3876.0, 5219
66, 2238, 674, 0.0, 3628.766666666667, 4754
67, 2238, 674, 0.0, 3740.9, 5125
68, 2238, 674, 0.0, 3552.0333333333333, 4838
69, 2238, 674, 0.0, 3739.4666666666667, 5650
70, 2238, 674, 0.0, 3564.766666666667, 4819
71, 2238, 674, 0.0, 3650.9333333333334, 5042
72, 2238, 674, 0.0, 3764.9, 5302
73, 2238, 674, 0.0, 3684.733333333333, 5461
74, 2238, 674, 0.0, 3798.733333333333, 5210
75, 2238, 674, 0.0, 3836.4, 6170
76, 2238, 674, 0.0, 3703.133333333333, 5484
77, 2238, 674, 0.0, 3844.8, 6074
78, 2238, 674, 0.0, 3695.733333333333, 6331
79, 2238, 674, 0.0, 3654.8333333333335, 5749
80, 2238, 674, 0.0, 3695.1666666666665, 4988
81, 2238, 674, 0.0, 3559.233333333333, 4974
82, 2238, 674, 0.0, 3665.2, 5587
83, 2238, 674, 0.0, 3611.4666666666667, 4938
84, 2238, 674, 0.0, 3683.0, 4829
85, 2238, 674, 0.0, 3725.3, 5312
86, 2238, 674, 0.0, 3822.133333333333, 6180
87, 2238, 674, 0.0, 3618.733333333333, 5300
88, 2238, 674, 0.0, 3640.1666666666665, 5849
89, 2238, 674, 0.0, 3848.7, 5188
90, 2238, 674, 0.0, 3529.0, 4688
91, 2238, 674, 0.0, 3711.8333333333335, 5372
92, 2238, 674, 0.0, 3573.3333333333335, 4870
93, 2238, 674, 0.0, 3465.3, 5589
