Parameters:
num_ants = 20
num_iterations = 125
alpha = 0.9
beta = 1.3
rho = 0.15
Q = 25

Execution 1:
Best Solution: [0, 6, 4, 12, 3, 17, 15, 10, 8, 13, 19, 1, 2, 7, 11, 5, 16, 18, 14, 9]
Cost: 2922
Execution Time: 1.4223902225494385 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
1, 4373, 1157, 0.0, 6611.55, 8511
2, 4373, 1157, 0.0, 6674.3, 9320
3, 4373, 1157, 0.0, 6938.15, 9110
4, 4373, 1157, 0.0, 6389.45, 7552
5, 4084, 1157, 0.0, 6590.2, 8255
6, 4084, 1157, 0.0, 6859.55, 8992
7, 4084, 1157, 0.0, 6260.95, 8297
8, 4084, 1157, 0.0, 6546.55, 9180
9, 4084, 1157, 0.0, 6715.2, 8816
10, 4084, 1157, 0.0, 6184.5, 7232
11, 4084, 1157, 0.0, 6616.75, 9206
12, 4084, 1157, 0.0, 6339.25, 9886
13, 4084, 1157, 0.0, 6850.1, 9192
14, 4084, 1157, 0.0, 6493.55, 8407
15, 4084, 1157, 0.0, 6221.45, 8253
16, 3997, 1157, 0.0, 6017.9, 7510
17, 3997, 1157, 0.0, 5767.85, 7085
18, 3997, 1157, 0.0, 6154.6, 8353
19, 3997, 1157, 0.0, 5841.3, 6804
20, 3783, 1157, 0.0, 5415.0, 6846
21, 3783, 1157, 0.0, 5734.5, 9004
22, 3783, 1157, 0.0, 5226.1, 6809
23, 3783, 1157, 0.0, 5343.85, 6637
24, 3783, 1157, 0.0, 5266.25, 6785
25, 3576, 1157, 0.0, 5036.35, 7002
26, 3576, 1157, 0.0, 5167.15, 6039
27, 3576, 1157, 0.0, 5041.85, 6546
28, 3576, 1157, 0.0, 5170.45, 7356
29, 3576, 1157, 0.0, 4845.0, 5870
30, 3576, 1157, 0.0, 5272.8, 6516
31, 3213, 1157, 0.0, 4844.35, 7011
32, 3213, 1157, 0.0, 5012.4, 5717
33, 3213, 1157, 0.0, 4727.45, 5883
34, 3213, 1157, 0.0, 4907.15, 6153
35, 3213, 1157, 0.0, 4919.8, 6698
36, 3213, 1157, 0.0, 5177.4, 6477
37, 3144, 1157, 0.0, 4927.35, 6616
38, 3144, 1157, 0.0, 4659.25, 5824
39, 3144, 1157, 0.0, 4694.1, 5739
40, 3144, 1157, 0.0, 4444.3, 5164
41, 3097, 1157, 0.0, 4579.15, 5805
42, 3097, 1157, 0.0, 4479.35, 5594
43, 3097, 1157, 0.0, 4500.75, 5921
44, 3097, 1157, 0.0, 4423.75, 5058
45, 3097, 1157, 0.0, 4477.65, 5540
46, 3097, 1157, 0.0, 4413.35, 5238
47, 3097, 1157, 0.0, 4600.9, 5872
48, 3097, 1157, 0.0, 4543.6, 6859
49, 3091, 1157, 0.0, 4265.25, 5394
50, 3091, 1157, 0.0, 4497.4, 5579
51, 3091, 1157, 0.0, 4468.0, 5770
52, 3091, 1157, 0.0, 4435.6, 5418
53, 3091, 1157, 0.0, 4280.05, 6195
54, 3091, 1157, 0.0, 4353.15, 5675
55, 3012, 1157, 0.0, 4213.4, 5085
